longitude,latitude
-77.04254579188903,-12.050183952461055
-77.01062573624999,-11.819714277436034
-76.85818104271912,-11.907202423275438
-77.06399824557604,-11.960536606321185
-76.85214012607513,-12.137592543823025
-77.16474622760933,-12.137602191865518
-76.88928062511654,-12.176766555132719
-76.8609809467781,-11.853529541690026
-77.12727293886506,-11.959553995302716
-77.02786138705112,-11.916770968881583
-77.13380009013454,-12.191766202281679
-76.91735834840232,-11.812036059135202
-76.98586089277534,-11.867022943679832
-76.94587066131668,-12.11506435572869
-77.12140521321751,-12.12727001311716
-77.11530165517904,-12.126638196058625
-77.18340106979603,-12.078303102816184
-77.0711729859217,-11.990097427347106
-76.97610213546653,-12.027221992543154
-76.85682603440107,-12.083508343920784
-76.93322902101653,-11.955258842111048
-77.0258414706401,-12.144202455739183
-76.81875195424234,-12.083142140585913
-76.91230191976966,-12.053455262682522
-76.82793391885498,-12.017572006313186
-76.98896481069113,-11.885929615442794
-77.09643829008274,-12.120130487136656
-77.17886932545412,-11.994306224634556
-76.90956605940646,-11.963034172455183
-77.15147880079779,-12.181419834912
-77.07888994869121,-11.956982059239424
-76.98701163684645,-12.131790350525083
-76.97423336488811,-12.173979362805888
-76.95976672120514,-11.820445785098668
-77.13349786786011,-11.813747186770177
-77.04810503807134,-11.876641060753416
-76.95312230915322,-12.078154492330652
-76.81207245414649,-12.160931154397446
-76.90894754492012,-11.926306789395138
-76.83095849716241,-12.023939002504159
-76.89511517667432,-12.151184706062088
-76.96331321244304,-12.001929235955492
-77.12319065234546,-12.186244591553912
-76.93332573924299,-11.836271839168488
-76.95064817361603,-12.096488007359993
-76.95901233181709,-11.934991086258407
-77.0040856528047,-12.075315569564236
-76.98853735840429,-11.991972791528875
-77.06622298915276,-11.981315888262689
-76.99227492294308,-12.126058217789788
-77.12097763772861,-11.812166148894176
-76.87793024105585,-11.889946870655555
-77.12568921812051,-11.824200423374325
-77.16601348404421,-11.84206905982894
-77.02550158945714,-11.960840008475566
-76.93667702419758,-11.831250305990753
-77.02491327002659,-12.164602999179232
-77.08929834721948,-12.121606855032342
-76.97673152644383,-12.181909084435784
-77.06119906583513,-12.069867867694693
-76.82685292394935,-12.044529084124207
-76.83094194415857,-12.091460387290441
-76.99905127201116,-11.86850499633923
-77.0688464023927,-12.057298669322565
-76.90514703441734,-12.087626196125047
-77.18531482260677,-11.982921566736701
-77.01009239758254,-12.143630310010094
-77.06547064229187,-11.879121207698384
-76.83178564595897,-12.170179742528092
-77.19519878909092,-11.805245225359794
-76.97887404971266,-11.891102092281338
-76.90373456757335,-12.120513727386331
-77.00599280499038,-12.197791153150558
-77.16583878793492,-11.873815428618066
-76.81101544398884,-11.917257062460953
-76.99279582744956,-11.908397132783605
-76.9543255022724,-11.891491861325623
-77.105356086917,-12.170382139306364
-77.00660076595727,-12.05661370858229
-77.02834020321667,-12.153652376189948
-77.17004166319921,-11.854758629649764
-77.15753585858101,-11.950680749268978
-76.86501099215249,-12.06764079005894
-77.10407201911737,-12.17457665988559
-77.12201669140055,-12.075607071313735
-76.99803541949994,-12.0699266711893
-76.892501147455,-11.908157528664775
-77.1752213925684,-11.944977011457915
-76.9692768321447,-11.84511490296947
-77.15231582286377,-12.01111402993522
-77.18541557966975,-12.15216230162468
-77.17890241913511,-11.914702085110802
-76.86633435671662,-11.89568598055324
-77.15281100654877,-11.9754891209722
-77.18193945423509,-11.891613128018175
-77.02484004514284,-12.002481761454243
-76.86240261122319,-11.990906868247203
-77.09503664940428,-12.02898359265658
-77.03131495298963,-12.18983234930236
-77.1840309869745,-12.156843429202677
-77.02036859434605,-12.187428325725305
-76.96895476774515,-11.945435835494488
-76.97163717849914,-12.07425760756947
-77.06702932313026,-11.99657172353412
-77.07378672773474,-11.836973410429563
-77.15735055242536,-12.10028310834045
-77.05328067174149,-12.035846830785747
-77.16020213245082,-11.89777954458278
-76.89336162211518,-12.10848073380335
-76.81349028090072,-12.169208036068483
-76.81197021733331,-12.084099418834493
-76.85397156024985,-12.135511485098398
-76.95968314026415,-11.828120939062972
-76.91965372110245,-11.876751848174234
-77.08591767892784,-11.946638497395831
-76.94769183193095,-11.851415763924914
-77.01774018022405,-11.878531169240354
-77.00719306408922,-12.125371976445585
-76.89688937584994,-11.842976400604009
-77.0872326577611,-11.98426310323374
-77.0727841553222,-11.877023937934375
-76.83014328354854,-11.841563480030603
-77.17751028205961,-12.072798610011255
-77.00574628063467,-12.15597923018893
-76.83487967983686,-12.108825934983223
-76.95585479687274,-12.029156884549497
-76.98143717031515,-11.872794093631002
-77.10010232830825,-11.855707766697464
-77.06268980437422,-12.197219147787523
-76.85918063367812,-11.995701078968974
-76.97631274729261,-12.033035598740488
-76.9941031224973,-12.111156875811707
-77.160168114584,-12.152053853066526
-77.19358873741795,-12.064953931438549
-76.81452592452517,-11.822836118434992
-77.04920553308527,-12.070718827191698
-76.9587147751602,-11.992483751302654
-77.16811397072509,-11.91879241644193
-76.92675428571079,-12.054548159048283
-76.82697331651761,-11.811287166911617
-76.96973389880104,-11.815021082023156
-77.14955387104983,-12.099287081669853
-76.9673113890106,-12.001100597643045
-76.89346111475814,-12.079648676073292
-77.03743338537039,-12.086063802249013
-76.84806490082342,-12.185245221058187
-76.94052681865705,-11.956174266408041
-76.84030043268432,-11.998928390708455
-76.95059787550106,-12.179408499500004
-77.14748481119807,-12.088541414305356
-77.07612331555792,-11.83669364561334
-77.11928202069902,-12.104175243733211
-76.83646940091326,-12.14204205116351
-76.895839973085,-12.004218895888975
-76.929440652436,-11.805739818355761
-77.07961347214736,-12.103177891395399
-77.12638209117992,-11.93114578103765
-76.89741956480444,-11.895352153868513
-77.01033682164837,-12.10494498240304
-77.10968417913975,-11.908713460555257
-76.95335120873389,-12.052886746912298
-77.18386645914462,-11.947077667762569
-77.0695318983487,-11.946588115695642
-77.01257720216354,-11.985690126370097
-77.14081666635624,-12.163884091978236
-76.80613820896366,-11.865879001764306
-77.11636105416416,-12.071687974011306
-77.1478587479827,-12.125392595840058
-77.11858605044524,-12.183689943378093
-76.8923755467361,-11.963642822724703
-77.02979773629126,-11.928974255263087
-76.97383362409899,-12.193364868428857
-77.19159633720545,-11.995162776680287
-77.18622747657068,-12.109401689920825
-77.02166978006919,-11.94193088383622
-76.87333790271934,-12.130253428398003
-76.84590444851698,-11.923624904759015
-77.16531737296175,-12.045305861479784
-76.9846547591596,-11.825308004505306
-76.83470812548829,-12.144991622341601
-77.04481089824084,-12.063573459579896
-76.86817366742865,-12.154610591503763
-77.14652173824022,-11.830122552688575
-76.82584220413288,-11.849064258647608
-76.89943067298748,-12.096823348913938
-76.82346624288523,-11.936006381586328
-76.929353106579,-11.873111119919514
-77.05463842720023,-11.977919675360216
-76.8247275309901,-11.988139768657597
-77.08977328947633,-12.103259083639818
-77.0671309911753,-12.16275889287764
-76.91967663279931,-11.84111369681867
-76.89387348018984,-11.839832777134669
-76.82823860646033,-11.946759417090693
-77.11807903637752,-12.06438808358052
-76.88080078591231,-12.060316170154936
-76.90458157864121,-11.909617728451904
-77.17448217749856,-11.84115589601897
-77.04511074351592,-11.845165430293953
-77.08689381717596,-11.888049781656951
-77.07820383025839,-11.943187341538286
-76.80682124817811,-12.16634401400198
-76.94288903460803,-12.135348514362153
-76.9129295368826,-11.840578324589169
-76.809352945074,-11.957428376136164
-77.04911928701695,-12.196321179353347
-76.87926393261887,-12.159411382853587
-77.02618761467821,-11.934599292356777
-76.852186531274,-12.197975366461511
-77.12773698347549,-12.135676779433
-76.82092552917429,-11.980506484253366
-77.11249131663565,-11.923241920922923
-77.06951179720762,-11.93921549619896
-76.89752310635728,-12.110292276215775
-77.04249794337383,-11.915128311460986
-76.95671544929343,-12.10510036500128
-77.02217059957223,-12.069840120736293
-76.90305202516409,-11.90140343795279
-77.10866749905256,-11.940146840381114
-77.17661680510525,-11.86031063580233
-77.08002824101078,-11.936954843079864
-77.01027653405262,-11.972676558665812
-77.13279197912293,-12.162530092868762
-77.05808108413744,-12.052913678776227
-77.04000679268258,-12.09391905292731
-77.17704326252469,-12.102404142648366
-76.96667710072632,-11.810795778099022
-76.84626262881149,-12.042760910133296
-77.13930283481878,-11.843181377929156
-76.96087679463939,-11.947544549601094
-76.93410431803566,-11.88207547858334
-77.03226612783229,-11.998945162757924
-76.91956096505429,-11.969238446149456
-77.03570738260359,-12.002992922472455
-76.99814508480902,-12.121902804880781
-77.19705878217823,-11.911019153895397
-76.92331195434612,-12.087691055023658
-76.93546292842211,-12.190273613427419
-77.18463964906947,-11.941811081637134
-77.05269995704195,-12.12915572823718
-76.80838726368333,-11.823816566258834
-77.03170537497256,-11.818428569198966
-76.99922183794726,-11.83405424391182
-76.83602793673612,-12.051936519897822
-76.9130952496537,-12.193817353388452
-76.96717194755031,-11.82867257496491
-76.88087812746357,-12.028726340673074
-76.8542534934176,-11.813338072382534
-77.01724477130509,-11.8145520091643
-77.00995665402726,-11.858796217813056
-77.04557962573926,-12.082220443172165
-76.81331754399261,-12.04596090855923
-76.92113349828387,-11.859545331393258
-77.16671077351677,-12.073231197937488
-76.8548161506748,-12.132202901325563
-77.0077760236655,-11.97727949501666
-77.172498437431,-11.825538090335689
-76.98011309793468,-11.921588081330011
-77.03313428840971,-11.971975531964254
-76.84890023805495,-12.161129402491692
-77.11840215855625,-11.953997109320332
-76.86941415620312,-11.803978459958296
-76.97692452352582,-12.143966393905389
-77.17815587871462,-11.992668139054505
-76.8112618794698,-11.849050771228818
-76.99495390235872,-11.903692552898319
-77.08364925830737,-11.921193703601894
-77.0122372632043,-11.919006366405156
-76.85685688659301,-12.056203539512097
-77.07803875024598,-12.082563262294203
-77.12292944140532,-11.876255537808595
-77.14837150122764,-11.875954642128328
-77.08085624064391,-11.853171072567958
-76.88798076518398,-11.834703778977412
-77.0113494539219,-11.995463040455626
-77.10900735852259,-11.99939348212512
-77.1335260001561,-11.88068192841329
-77.06690820939585,-11.940014427688894
-76.82403025084571,-11.919213249096918
-77.062789314964,-11.88168293222556
-76.80475036961815,-11.843997863272975
-77.00590781769385,-12.064801937259386
-77.12833443268394,-12.049766818944022
-76.8435439632826,-12.162407224063651
-77.01585785074607,-11.96868794360153
-76.91613146259819,-12.185623090481302
-76.80651536671634,-12.013760792747016
-77.17992985987202,-11.982942146116969
-77.16132217608498,-12.085383499148685
-76.91181730341489,-11.963666695772396
-77.08726999868182,-12.18779990002438
-77.12627944121996,-12.185060724500314
-77.1842552480721,-11.870959775736138
-77.19126131520552,-12.055923743435494
-76.89020575875209,-12.149175794939245
-77.14622662905218,-11.991102695978078
-77.01291175361153,-11.892002578760556
-76.9576412739282,-12.113671589001262
-77.02865927977246,-11.9508438096724
-77.1891573390655,-12.165861014002493
-76.88659939896483,-12.179327311532557
-77.19579471018334,-11.987458147372742
-76.895244042249,-11.983745951355957
-76.84267820248475,-11.945028039400718
-77.02686403157713,-11.909563466510935
-76.98578301076088,-11.809659168214987
-77.00920664295293,-11.993479860679521
-77.04431655255063,-12.070817410823501
-76.84503018585185,-11.88192552209252
-76.84242659573201,-12.09166709949517
-77.0656734541434,-12.024411431717745
-76.95397209839412,-12.168617447463093
-76.82923697514165,-12.189859702633816
-76.81517660042346,-11.814940634128831
-76.99641638383117,-11.865607951795118
-77.01887007788626,-11.921610317562521
-77.08852227362858,-12.036418822234292
-76.81645125072383,-12.130682271971661
-77.14287427821085,-12.137425182931565
-76.9680681695809,-12.099902840734162
-77.08697989299255,-11.980309334117552
-77.08839668386088,-11.914161630919976
-77.03801256504953,-11.935921049312908
-76.80048282567374,-12.088026441221622
-77.17801347726407,-11.818053887734724
-76.96858327271859,-11.904841233321694
-77.16697113678589,-11.97825837899544
-77.1381916680038,-11.95531170150626
-77.02417482329083,-12.032159975028884
-76.99581594746142,-12.100907604199536
-77.09648303665419,-12.057610928539495
-77.07341714765023,-11.896861555814253
-77.16521319189764,-12.194242604548098
-77.0787120864623,-12.153570943797233
-76.81337662424778,-12.181598943191299
-76.822117047331,-12.183708479072411
-77.06604868394521,-11.857815766395598
-76.9716584254885,-11.918536856247991
-76.83616184355562,-12.01033046836507
-77.19752647094364,-12.160866335739598
-76.87572657186496,-12.003353649953267
