lat,long,speed
-11.998950981449063,-76.91243654378015,36.47934751291876
-12.095697581501057,-77.18307819944177,43.185426815603144
-11.828837630766989,-77.09093413131595,38.55962901146168
-11.880123640076881,-77.10489343113679,30.321023823944564
-12.101202700210509,-77.06343801431993,26.70851072825795
-12.151980443202074,-77.03126096702623,41.57678107973313
-11.904573462982317,-76.8622089455557,46.7601545935663
-11.936026375407046,-76.91847343147275,64.07604803584834
-11.963330478032013,-76.84859612360317,24.59387324928101
-11.816730901593647,-76.92738560908045,35.600920407751076
-12.063729511155142,-77.15205018526731,46.460025697314535
-12.150992130119418,-77.0211770686183,38.710258747010016
-12.117570432561338,-76.94136250085546,54.75695810266602
-11.911225009823456,-77.01094834825072,34.80733453445067
-11.83551806429574,-77.1520240194417,47.66072656184643
-11.925208075589863,-77.17825134999458,27.93092778607634
-12.141644551486314,-77.05889350843921,63.46859629523466
-11.917376006813141,-76.87045229927212,49.29234227580433
-12.073350092736332,-76.89098051160778,55.21114215669885
-12.040476153326928,-76.82939653025205,36.535177234096814
-11.942774458488378,-76.9766722108797,38.78817512159724
-12.029171244161594,-77.02217836807809,30.077976414195053
-11.815469113472394,-76.88206856947916,33.20020491777049
-11.882277794139858,-76.99955126307907,55.31090780567107
-11.98238589802621,-77.11263232229045,36.99394197973773
-12.026807939608997,-76.80023562700406,17.556544902458043
-12.06789078106135,-77.17552201434927,47.01168818376987
-12.067339009387934,-76.83339215302077,45.062246758624575
-11.94205201829129,-77.12486863115276,43.34179803689761
-11.866883310136046,-76.84464374493544,35.88827432533691
-12.123325609799508,-76.8263062350465,44.248907550365445
-11.829597904767533,-76.88814277330783,42.77133315197375
-12.07970644265684,-76.82315800600641,32.686708768953466
-11.917237163043232,-76.92278245472119,37.97089701054587
-11.894996672077417,-77.06011308156208,45.822003432265014
-11.871385622904796,-76.833332166595,46.54554453753609
-12.043619529043601,-77.18471018290047,35.936037341328245
-12.035701632038107,-77.10869891881916,63.376938712798825
-11.929968502437552,-76.84825659899263,42.69314407407871
-11.819245891339165,-76.93580663728264,38.62200300652058
-11.828260133753354,-76.87279539191714,35.080128094200106
