login_frequency,avg_session_duration,active_courses
3,69.76086677644079,7
2,46.055795010871506,7
2,41.98559396804197,4
2,60.82472209229203,6
1,41.39142101336273,1
2,66.7739545003406,6
1,96.20890395843655,4
0,54.469519904662114,4
2,30.854597714414066,6
6,53.20656527276051,2
1,67.34942550259107,3
4,65.85031459894391,5
7,72.57657219670536,7
3,51.09308204069961,6
3,55.79948892807982,1
6,23.2208141937596,5
6,69.21076972600886,4
4,40.347457437384975,3
3,63.00088692889298,2
5,46.93140406609365,2
2,58.696991412094,1
1,74.37641049491425,7
2,53.442236248062585,3
3,48.905126037044504,6
3,60.038700654180815,7
4,50.36272095357113,1
1,45.87275981805308,2
5,87.99884017601585,4
0,32.17732455440991,1
2,69.80787195899413,3
4,57.9660019654744,6
4,47.61248026843296,1
1,65.21101329030868,6
3,60.51607333420762,2
3,79.80795118938586,1
5,42.98246736765887,4
0,52.25791124141342,6
5,75.1740362156065,2
5,56.92557267880689,6
5,68.20129617360347,1
2,78.22204415859122,5
6,68.4328764389776,6
2,50.83301912777405,5
4,54.73512632597103,2
0,78.34926790171669,4
1,62.32818122053599,7
3,56.944134386100146,7
0,65.75414968352813,3
5,40.73657887050068,4
8,56.448707377343204,1
4,58.82196454524174,2
3,58.57675529977167,5
3,54.085987208099546,3
2,55.36799522769883,7
2,58.29048131648655,2
8,81.90416628472184,2
3,26.95356800139325,2
0,70.48459286192671,1
4,58.69852096356286,5
4,59.07297790732179,6
1,53.90707414660591,5
1,67.5271172086261,5
2,74.25310546191645,7
3,31.55704580922994,3
3,91.409091919846,6
5,62.161825491134024,6
3,61.645290759023005,6
1,39.086761316417,7
4,51.43495462699471,1
4,80.38600425637443,4
6,61.030148876496824,5
6,66.23636973720586,4
6,53.08212555881808,7
6,89.5615095761851,2
2,57.701085775910805,6
3,76.95766302695579,2
7,57.73093981024291,2
1,65.21304598666208,5
4,65.28299426072593,6
6,73.86851673388232,7
1,71.08156570424003,2
3,52.88896414838628,1
2,77.38557833001003,6
3,45.14792243402007,2
4,42.24682122913431,5
3,55.62872971454453,7
1,65.90101804127505,1
3,44.666126519875064,5
0,58.83255039145947,2
2,39.228533125111454,1
5,55.956576517850344,2
3,74.57755189892856,1
0,47.346089163425155,4
1,41.67500771348874,1
3,65.67937261203488,4
6,48.18613078611872,2
2,96.34278629881578,1
0,62.87980838434241,5
2,75.36940802846458,6
4,40.27988059204296,1
2,66.86053000225348,1
6,44.90858266310258,6
9,57.31337713383834,1
4,48.71593894076443,3
3,75.59557627021069,5
3,64.81727420435432,1
6,61.76115355427308,1
3,80.4159280604715,2
2,60.23798131527234,6
0,75.45580210874992,7
4,87.00894418289147,6
1,62.102231683816235,7
0,63.89302294664534,5
4,74.31819916445436,1
1,81.55133528307829,1
3,61.923067869405806,1
1,50.43848669598143,7
2,72.99851891987745,4
2,68.57510936813736,3
4,72.85431290898276,5
2,70.4811226042325,4
3,63.101497494664216,1
6,63.968882630936044,6
3,70.53367601584964,5
1,38.25708911533742,4
2,79.94520667592843,3
3,66.7496827382811,4
3,47.307969245108666,7
2,62.77670967374675,2
3,79.7788513679607,1
7,64.35415202399996,4
2,49.01915291909839,6
3,40.88261432876385,3
6,96.97339803520995,6
7,33.9162610985704,6
0,65.05370189700412,7
5,51.20206586391393,1
5,75.63660152888556,2
4,41.75538453948626,6
4,84.12555892346059,7
1,58.124073453010496,7
0,56.69784457044182,2
4,55.30103016271845,4
2,51.11109581504725,7
6,54.469483829759,1
5,70.77530966727221,4
2,34.17405967040784,2
6,48.7652643448762,5
0,82.42709011262771,4
3,58.64353180816129,7
3,51.413518835487785,5
7,40.878216960497745,1
5,42.44651083378265,2
1,74.73306226856688,7
5,47.66074141351213,4
4,72.06800635343298,4
2,45.29228058209645,7
5,58.113809112318,4
3,58.96368173329505,1
2,48.695164157652684,6
4,61.15435468549232,6
7,28.26149653734184,1
3,58.67231538992592,6
1,66.67748424669925,6
2,47.475859982994294,7
3,63.195022831422676,3
4,62.30216214115179,7
7,62.90473319365571,7
2,39.8277341868817,6
4,61.427564938202835,4
5,34.16581629692162,1
0,50.558379658383146,2
4,59.94210157093604,1
5,63.12515225867139,1
5,41.86044858276968,4
4,55.73744662775197,5
2,71.91820260922708,2
4,45.304664723641324,5
1,27.69544940722203,3
1,67.94351431858058,4
4,45.86688501363494,6
1,50.41358257452844,5
1,61.95902939661697,1
1,61.15887927034671,1
4,75.323099932838,3
2,56.37234870297277,7
2,61.02458070451411,7
1,34.60636987313585,7
1,69.4232191744818,3
3,49.62924152997146,2
2,108.46600869318024,2
5,56.79592671639235,4
6,66.36592625905202,3
3,69.5656147884311,4
1,58.669896499210495,5
2,66.55140260282943,2
6,93.83171727554034,7
6,48.69370737951767,4
1,26.350970566331426,7
4,40.45657630308774,3
6,74.95892240322814,5
4,52.81413576642143,2
2,94.97867528740935,4
6,70.90669876576185,6
