avg_steps,weekly_visits
9425.434134664458,5
4662.161520642843,1
6952.365893634157,2
7516.876159248428,5
10435.62999550627,4
7257.596232583269,2
7265.652609798829,2
9709.377626075613,3
7744.109103286277,6
5929.78406599995,1
12316.065580819468,4
9341.60414027358,2
6862.743693728468,2
7240.810976530173,1
5244.256208012999,4
8020.009436532829,1
9369.277519013302,6
3901.0463032512916,4
7919.36099990791,1
4621.02064311279,1
6861.790637795182,1
7815.589500146627,3
7876.339690233759,1
12265.816817950941,6
8077.361618773084,6
6373.632073308112,6
5611.611336365518,2
6375.951506907215,3
8247.926368854554,6
3978.216514988202,1
5084.985837932209,4
8085.251705340788,5
7130.54519160318,3
8443.066373484335,6
5894.144047034342,4
6312.260019195473,6
9653.937285967926,6
8811.164273507668,3
4462.433481158321,4
3995.5743736440418,6
5427.066170610404,2
6323.122419282271,4
9376.344633797517,2
5006.499936862883,4
8974.895067984662,6
6749.506580494358,3
7217.649075229751,5
6622.79744862554,3
8166.440938112057,6
9480.500397784801,2
6059.186099049279,4
9713.750004549827,6
9192.545969324945,4
6930.213450435045,4
6199.278769895256,5
10304.850171929285,6
6950.326758102713,3
7102.601030023021,3
8342.14942666173,6
9041.695245319544,4
10194.020579107502,4
8545.533656519568,4
7794.545213049957,3
7967.271282147984,5
5024.2676859449075,6
6892.8650482246785,4
5540.346660211379,4
9154.38837886317,5
6200.626748919721,6
9777.060854118798,6
6541.389063834118,5
6158.984190954006,4
6022.093063767908,6
4654.3687285707,2
5829.108615174682,5
6022.308480251046,5
9474.653323110168,3
6919.292868549904,1
7115.110809594272,4
6688.618315693926,1
9570.731465857078,1
7844.541465365953,4
5663.375667136351,3
4878.850311039703,5
6463.861428671456,3
9921.654992626629,3
7203.798810696807,4
9828.029732977251,2
10939.538847655262,6
11403.689641883266,6
6855.413445167827,6
5808.324734215176,5
9062.484056064155,6
5293.869923582273,6
7528.941472416231,5
5705.127077483539,4
6653.946973054169,6
7301.073959827507,2
6574.451101149052,2
8977.691209542456,6
7977.494238599032,1
5550.817808232033,1
5727.229644266809,6
6201.477057580581,3
10091.386186792532,6
8962.487435714638,5
3524.9259026758896,5
8102.482525154078,5
12526.92118504599,3
8131.08540029472,6
7341.2483071872975,6
6233.881376710183,2
5507.2048540689,2
8028.866220826163,5
3467.482540657054,6
6153.900229304347,2
7436.143371029667,5
9713.295043682261,2
4451.006302699677,6
6622.33910101191,6
8749.666464531587,4
7111.896654317493,1
10090.58781583944,4
8593.21961790126,1
5880.484902050161,2
7553.759402923286,4
5883.225926743142,5
7340.3359954607495,4
7852.997276951244,2
8843.558284016277,2
7917.172277436711,1
5135.915804063584,4
3571.5312999077883,2
8542.75828899401,4
3288.8057887926243,3
7829.129879089221,2
5607.542616029778,1
7425.704025630245,1
7169.316298305598,5
8077.543746477374,2
7479.074916516024,6
8817.87837818356,6
7974.699378732353,6
9693.338248854216,5
6474.441462837398,6
5299.115512986627,1
7989.080242897415,2
7276.807442008349,3
8210.300658571974,4
7341.530415218138,6
9519.784364497475,2
8409.004906570786,5
5039.31241764389,2
6657.247720927197,1
7791.683651017955,1
6661.637635261244,6
6240.180181916513,1
10028.751601745755,4
8984.01825626622,2
5996.568808629482,1
9267.353297873231,1
9071.546942243765,3
8662.87689643993,1
4431.9136498369035,5
7799.537712659199,1
5518.031660499579,5
7091.373739087505,6
9747.393089904375,4
6698.136814579597,6
7178.334400658815,4
4667.057560966465,2
7769.1717293533275,3
10297.00160404962,2
11646.766474136912,1
9327.21141852701,4
6653.108371189377,5
8436.074358460326,2
6564.8203197523935,4
7820.311475978207,5
8535.487031266615,5
4744.68991416438,1
9030.12400464321,2
8353.354538403746,6
6005.704045351764,5
3511.406811379138,4
7910.469779062414,2
8903.167249176342,1
6839.568184291811,1
6850.975163293844,4
8622.157771004437,6
6224.895916894954,5
8872.300413584937,1
6947.810761388339,1
7955.027533661714,5
8173.827377893898,5
10623.925969706681,5
8048.93910302843,3
5686.631485533199,3
6436.980781691062,5
6431.033931633983,5
8534.33489750178,4
7382.700828135707,1
7481.639828256716,2
9877.822270519804,6
9256.78102501078,3
